Area,Channel,LSUID,Subbasin,Landscape,%Subbasin,Category,Slope,Len1,Csl,Wid1,Dep1,Lat,Lon,Elev,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_10,HISTO_NODA
2080.38,"105","1050","4",NA,4.3,"0",13.05,6695.15,2.57,7.97,0.44,41.12,-2.65,1126.90,0,303,0,29,0,0
2234.31,"110","1100","1",NA,4.1,"0",34.76,5689.52,12.95,8.32,0.45,41.12,-3.24,1464.90,286,0,70,0,0,0
2038.06,"104","1040","2",NA,6.1,"0",15.78,7285.84,5.01,7.87,0.43,41.12,-2.86,1065.05,183,7,90,46,0,0
1438.94,"42","420","3",NA,3.5,"0",20.23,7299.14,4.49,6.39,0.38,41.10,-3.05,1084.75,141,0,96,0,0,0
1239.81,"28","280","4",NA,2.6,"0",25.31,4106.67,5.01,5.84,0.36,41.12,-2.78,1018.34,16,46,113,23,0,0
3211.25,"101","1010","5",NA,5.2,"0",23.10,7117.64,13.53,10.34,0.52,41.10,-3.30,1263.31,403,0,112,0,0,0
2276.06,"99","990","7",NA,13.6,"0",27.89,7644.11,10.89,8.41,0.45,41.09,-3.54,1440.07,366,0,0,0,1,0
62.88,"31","310","4",NA,0.1,"0",37.91,918.20,16.20,0.98,0.11,41.13,-2.77,964.99,0,9,2,0,0,0
5041.56,"14","140","1",NA,9.2,"0",29.40,6341.60,3.88,13.56,0.62,41.08,-3.17,1186.81,708,0,102,0,0,0
1326.50,"33","330","5",NA,2.1,"0",34.67,5443.07,9.59,6.08,0.37,41.10,-3.37,1257.89,159,0,49,0,0,0
4589.31,"11","110","3",NA,11.3,"0",16.10,11519.00,3.72,12.81,0.60,41.06,-3.01,1034.96,320,19,349,34,12,0
3624.88,"100","1000","8",NA,14.1,"0",10.66,8072.98,1.47,11.12,0.55,41.09,-2.51,1155.76,0,275,0,302,0,2
784.38,"62","620","4",NA,1.6,"0",10.39,3522.05,6.31,4.44,0.30,41.11,-2.70,965.71,0,14,10,99,0,0
1105.94,"50","500","4",NA,2.3,"0",18.44,3790.25,4.51,5.46,0.34,41.10,-2.74,1010.80,0,93,17,69,0,0
2271.94,"68","680","5",NA,3.7,"0",31.54,3895.28,16.23,8.40,0.45,41.09,-3.47,1365.32,340,0,21,0,0,0
1594.50,"98","980","7",NA,9.5,"0",25.54,7512.01,10.47,6.79,0.39,41.09,-3.58,1311.92,254,0,0,0,0,0
2764.50,"96","960","7",NA,16.5,"0",23.86,8273.71,9.24,9.45,0.49,41.07,-3.50,1335.91,422,0,18,0,0,0
845.13,"22","220","2",NA,2.5,"0",23.21,6358.76,6.79,4.64,0.31,41.10,-2.92,1081.80,103,0,34,0,0,0
5802.69,"57","570","6",NA,35.9,"0",16.74,8339.09,2.08,14.75,0.66,41.08,-2.62,1071.72,0,360,17,558,0,0
3745.56,"41","410","5",NA,6.0,"0",33.62,5480.94,12.66,11.34,0.55,41.07,-3.40,1286.26,550,0,49,0,0,0
2438.06,"97","970","1",NA,4.5,"0",31.72,6541.60,14.87,8.77,0.47,41.08,-3.22,1260.13,348,0,41,0,0,0
6481.94,"248","2480","2",NA,19.4,"0",18.50,8997.98,5.06,15.76,0.69,41.02,-2.95,930.42,13,344,577,110,0,0
218.13,"45","450","4",NA,0.5,"0",35.79,2428.86,9.22,2.06,0.18,41.10,-2.76,1002.51,0,19,6,6,0,0
1596.81,"103","1030","4",NA,3.3,"0",14.01,6358.76,2.61,6.80,0.39,41.09,-2.68,1023.04,0,95,12,148,0,0
1914.13,"15","150","2",NA,5.7,"0",22.66,7784.07,5.67,7.58,0.42,41.07,-2.93,1007.02,67,17,170,51,2,0
2007.44,"95","950","2",NA,6.0,"0",14.56,8112.62,2.27,7.80,0.43,41.07,-2.87,993.74,72,65,159,26,0,0
907.69,"21","210","2",NA,2.7,"0",21.58,6084.49,2.88,4.85,0.31,41.08,-2.89,986.58,117,0,15,9,2,0
2248.31,"93","930","3",NA,5.5,"0",17.58,7075.18,4.97,8.35,0.45,41.07,-3.08,1086.82,131,0,221,0,0,0
1586.06,"92","920","5",NA,2.6,"0",21.38,8058.03,10.31,6.77,0.39,41.07,-3.29,1148.46,196,0,60,0,0,0
1544.06,"89","890","5",NA,2.5,"0",33.33,8010.54,11.08,6.66,0.39,41.06,-3.26,1256.82,227,0,21,0,0,0
1336.56,"26","260","5",NA,2.2,"0",28.63,4715.25,8.78,6.11,0.37,41.06,-3.35,1132.96,182,0,30,0,0,0
2583.00,"94","940","8",NA,10.1,"0",9.29,6819.11,1.33,9.08,0.48,41.05,-2.48,1173.56,0,311,0,103,0,3
528.75,"23","230","4",NA,1.1,"0",20.68,3504.90,6.78,3.50,0.25,41.08,-2.77,984.16,0,28,16,42,0,0
2841.50,"91","910","4",NA,5.9,"0",13.83,10096.51,1.05,9.61,0.50,41.06,-2.73,1055.80,0,291,160,2,0,0
2958.13,"87","870","9",NA,6.0,"0",18.73,9074.75,8.37,9.84,0.50,41.05,-3.65,1295.91,470,2,0,0,0,1
3751.69,"49","490","8",NA,14.6,"0",10.96,5910.53,1.68,11.35,0.55,41.04,-2.58,1129.89,0,504,0,96,0,0
20.44,"12","120","3",NA,0.1,"0",46.94,507.84,31.51,0.50,0.07,41.08,-3.02,990.83,3,0,0,0,0,0
2334.94,"46","460","7",NA,14.0,"0",15.45,6723.40,8.33,8.54,0.46,41.05,-3.59,1127.13,377,1,0,0,0,0
24.13,"37","370","3",NA,0.1,"0",42.04,612.13,22.52,0.55,0.07,41.08,-3.03,991.12,3,0,0,0,0,0
1473.94,"79","790","9",NA,3.0,"0",26.62,9115.14,9.20,6.48,0.38,41.05,-3.69,1443.11,234,0,0,0,0,2
405.50,"20","200","4",NA,0.8,"0",21.91,4194.54,4.80,2.99,0.23,41.07,-2.78,981.04,0,12,37,18,0,0
2304.06,"90","900","10",NA,2.1,"0",10.84,8322.98,2.16,8.47,0.46,41.05,-2.40,1141.69,0,151,38,176,0,8
2323.13,"81","810","3",NA,5.7,"0",28.61,9324.75,5.50,8.52,0.46,41.04,-3.11,1154.78,320,0,51,5,0,0
1950.75,"85","850","9",NA,3.9,"0",29.93,5670.58,15.75,7.67,0.43,41.04,-3.72,1509.31,310,0,0,0,0,3
1463.00,"88","880","10",NA,1.4,"0",8.47,6219.11,2.37,6.45,0.38,41.05,-2.22,1284.20,0,225,0,0,0,10
1881.44,"82","820","10",NA,1.7,"0",8.91,7408.76,1.63,7.50,0.42,41.03,-2.19,1283.86,0,276,2,12,0,11
69.06,"70","700","2",NA,0.2,"0",25.21,1288.91,9.40,1.03,0.11,41.06,-2.90,929.14,0,1,0,10,0,0
1553.94,"17","170","4",NA,3.2,"0",20.34,6119.85,3.62,6.69,0.39,41.05,-2.82,970.50,0,124,124,4,0,0
2059.63,"59","590","7",NA,12.3,"0",19.78,7547.67,7.82,7.92,0.44,41.04,-3.53,1211.13,259,0,77,0,0,0
2160.81,"86","860","8",NA,8.4,"0",9.50,7013.36,1.25,8.15,0.44,41.02,-2.53,1141.99,0,248,0,98,0,0
6216.63,"10","100","1",NA,11.4,"0",28.22,8958.33,6.66,15.37,0.68,41.01,-3.19,1082.55,576,77,224,111,4,0
3422.88,"83","830","5",NA,5.5,"0",40.76,6267.34,9.86,10.75,0.53,41.03,-3.38,1297.94,499,0,49,0,0,0
371.94,"24","240","5",NA,0.6,"0",32.90,1914.95,11.14,2.84,0.22,41.04,-3.32,1029.48,32,0,24,0,2,0
1417.56,"84","840","6",NA,8.8,"0",9.58,9593.69,2.01,6.33,0.38,41.04,-2.65,1092.15,0,226,0,0,0,0
312.44,"56","560","8",NA,1.2,"0",11.69,2125.30,3.93,2.56,0.21,41.04,-2.55,1122.15,0,35,0,17,0,0
3522.38,"67","670","10",NA,3.3,"0",14.98,4140.55,2.71,10.93,0.54,41.03,-2.28,1223.56,0,273,0,287,0,5
7128.44,"252","2520","11",NA,23.6,"0",39.30,8908.33,6.42,16.69,0.72,41.00,-3.46,1324.19,1035,0,110,0,0,0
35.06,"25","250","5",NA,0.1,"0",22.66,1165.69,16.25,0.69,0.09,41.05,-3.33,1027.59,6,0,1,0,0,0
4336.56,"250","2500","10",NA,4.0,"0",11.95,8501.22,2.01,12.38,0.59,41.00,-2.41,1137.68,0,111,52,531,0,0
2521.31,"253","2530","12",NA,25.6,"0",12.85,7632.29,1.86,8.94,0.47,41.01,-2.89,944.51,0,97,305,0,0,0
2579.44,"13","130","4",NA,5.3,"0",21.92,5703.43,3.34,9.07,0.48,41.03,-2.77,954.24,0,188,177,47,0,0
2468.69,"249","2490","5",NA,4.0,"0",30.27,9800.80,5.16,8.83,0.47,41.00,-3.29,1046.76,240,21,122,10,0,0
78.44,"71","710","5",NA,0.1,"0",37.75,1184.62,16.21,1.12,0.12,41.04,-3.30,995.31,6,0,9,0,0,0
338.44,"72","720","5",NA,0.5,"0",31.13,4020.58,12.04,2.68,0.21,41.03,-3.28,1061.18,42,0,14,0,0,0
2592.44,"32","320","6",NA,16.0,"0",24.22,5237.00,1.96,9.10,0.48,41.01,-2.72,976.71,0,17,391,6,0,0
122.63,"38","380","7",NA,0.7,"0",18.47,2452.08,8.15,1.46,0.14,41.03,-3.58,1028.65,19,0,0,0,0,0
2656.56,"254","2540","12",NA,26.9,"0",17.67,7535.84,3.33,9.23,0.48,41.01,-2.86,979.39,0,185,216,21,0,0
234.19,"19","190","5",NA,0.4,"0",24.27,3892.76,6.45,2.15,0.18,41.03,-3.32,1051.19,21,0,19,0,0,0
10409.25,"251","2510","8",NA,40.5,"0",15.94,9751.23,2.00,20.94,0.83,40.97,-2.72,1009.70,0,734,904,22,0,0
764.94,"65","650","9",NA,1.5,"0",9.18,5443.07,4.04,4.37,0.29,41.01,-3.66,1058.74,121,0,0,0,0,0
1812.81,"258","2580","10",NA,1.7,"0",9.58,8324.45,1.57,7.34,0.41,41.00,-2.47,1141.88,0,76,26,191,0,0
1442.00,"80","800","10",NA,1.3,"0",12.84,6428.73,3.10,6.40,0.38,41.01,-2.34,1171.38,0,66,0,169,0,0
2172.06,"496","4960","5",NA,3.5,"0",15.47,10697.24,2.53,8.18,0.45,40.99,-3.26,1019.49,24,150,144,29,0,0
165.75,"66","660","3",NA,0.4,"0",21.82,1436.40,6.48,1.75,0.16,41.03,-3.06,979.12,14,0,12,0,1,0
349.94,"29","290","10",NA,0.3,"0",12.17,1897.79,4.96,2.74,0.21,41.02,-2.38,1126.02,0,27,9,19,0,0
488.00,"36","360","7",NA,2.9,"0",14.58,3394.54,7.42,3.34,0.25,41.02,-3.59,1022.61,70,0,10,0,1,0
435.56,"61","610","3",NA,1.1,"0",27.75,4062.74,5.61,3.12,0.23,41.01,-3.05,979.68,44,8,4,11,2,0
197.63,"5","50","9",NA,0.4,"0",9.33,4803.43,5.93,1.94,0.17,41.01,-3.65,1031.47,31,0,0,0,0,0
4876.94,"246","2460","3",NA,12.0,"0",14.54,6082.29,2.77,13.29,0.62,40.97,-3.00,891.30,0,102,669,10,0,0
1859.25,"4","40","9",NA,3.8,"0",10.48,4431.68,4.99,7.45,0.42,40.99,-3.62,1023.27,295,0,0,0,2,0
2202.31,"77","770","9",NA,4.4,"0",23.00,9185.11,11.11,8.25,0.45,41.00,-3.73,1464.34,340,0,11,0,0,2
1733.75,"78","780","11",NA,5.7,"0",17.77,6922.67,10.11,7.14,0.41,41.01,-3.54,1107.15,234,0,40,0,0,0
146.38,"53","530","5",NA,0.2,"0",45.44,926.78,21.67,1.62,0.15,41.02,-3.32,1014.30,13,0,7,0,2,0
43.31,"18","180","5",NA,0.1,"0",29.09,1557.11,10.83,0.78,0.09,41.03,-3.30,980.33,3,0,4,0,0,0
433.38,"73","730","3",NA,1.1,"0",21.56,3923.09,5.32,3.11,0.23,41.01,-3.07,1005.68,45,0,22,0,3,0
438.63,"16","160","5",NA,0.7,"0",34.70,2628.86,14.64,3.13,0.23,41.01,-3.30,1039.12,43,0,25,0,0,0
1723.06,"259","2590","10",NA,1.6,"0",8.09,7913.36,1.60,7.12,0.41,40.99,-2.50,1133.88,0,216,8,54,0,0
3750.50,"257","2570","13",NA,16.7,"0",20.05,7359.50,4.34,11.35,0.55,40.99,-3.10,1004.05,94,82,385,38,0,0
46.00,"43","430","7",NA,0.3,"0",26.03,818.20,14.93,0.81,0.10,41.02,-3.58,1016.39,5,0,1,0,0,0
1686.56,"76","760","14",NA,10.9,"0",18.19,5780.20,3.31,7.03,0.40,41.00,-2.30,1216.90,2,14,0,254,0,0
941.69,"7","70","9",NA,1.9,"0",8.57,7839.09,5.50,4.95,0.32,41.00,-3.68,1084.51,144,0,8,0,0,0
1511.75,"493","4930","9",NA,3.1,"0",29.23,8433.02,11.71,6.58,0.39,40.98,-3.76,1500.06,214,2,27,0,0,0
48.88,"9","90","3",NA,0.1,"0",23.13,1873.53,8.27,0.84,0.10,41.01,-3.02,1001.63,0,5,1,0,0,0
1601.81,"75","750","14",NA,10.4,"0",23.66,6404.47,4.11,6.81,0.39,40.99,-2.26,1220.94,15,0,0,237,0,0
368.00,"3","30","11",NA,1.2,"0",14.46,2288.17,6.29,2.82,0.22,40.99,-3.58,995.40,46,0,8,0,2,0
2840.81,"74","740","8",NA,11.1,"0",6.65,6629.77,1.18,9.61,0.50,40.98,-2.60,1109.73,0,440,8,0,0,0
2692.50,"247","2470","15",NA,100.0,"0",21.85,4974.87,3.07,9.30,0.49,40.98,-2.81,934.30,0,189,206,40,0,0
3409.31,"494","4940","16",NA,21.2,"0",20.68,6012.01,3.80,10.72,0.53,40.96,-2.22,1189.01,22,30,0,493,0,5
2808.81,"497","4970","5",NA,4.5,"0",40.17,6518.38,13.95,9.54,0.49,40.98,-3.35,1148.03,423,4,24,0,0,0
1393.56,"491","4910","9",NA,2.8,"0",31.64,7976.96,12.56,6.27,0.37,40.97,-3.81,1542.67,179,0,44,0,0,4
3131.13,"176","1760","11",NA,10.4,"0",18.02,6410.53,7.58,10.19,0.52,40.97,-3.55,1034.68,412,1,84,0,3,0
2.75,"60","600","9",NA,0.0,"0",15.47,316.42,8.68,0.15,0.03,41.00,-3.64,968.05,1,0,0,0,0,0
355.06,"343","3430","9",NA,0.7,"0",27.10,5924.87,16.09,2.76,0.22,40.97,-3.78,1376.96,46,0,6,0,0,0
390.06,"255","2550","9",NA,0.8,"0",6.97,3652.08,8.84,2.92,0.22,40.98,-3.69,1070.24,60,0,0,0,0,0
1948.63,"495","4950","10",NA,1.8,"0",6.77,7011.58,0.91,7.66,0.43,40.97,-2.53,1118.66,0,279,25,4,0,0
23.38,"6","60","9",NA,0.0,"0",12.69,932.84,6.06,0.54,0.07,40.99,-3.65,981.82,3,0,0,0,0,0
5.25,"2","20","11",NA,0.0,"0",35.15,270.71,6.51,0.22,0.04,40.99,-3.57,931.71,1,0,0,0,0,0
2536.44,"489","4890","5",NA,4.1,"0",32.63,10004.35,8.75,8.98,0.47,40.95,-3.37,1072.91,322,22,63,1,0,0
3778.88,"222","2220","12",NA,38.3,"0",14.92,7465.13,4.06,11.40,0.56,40.95,-2.87,884.54,0,91,434,81,0,0
34.44,"1","10","11",NA,0.1,"0",22.86,644.97,11.00,0.68,0.08,40.99,-3.57,939.92,4,0,0,0,1,0
752.38,"8","80","9",NA,1.5,"0",10.33,4992.77,3.95,4.33,0.29,40.97,-3.66,1059.02,120,0,0,0,1,0
5130.94,"490","4900","10",NA,4.8,"0",10.24,8054.04,2.80,13.70,0.63,40.95,-2.40,1136.27,0,381,24,419,0,0
2782.13,"481","4810","17",NA,9.6,"0",3.68,10756.43,0.72,9.49,0.49,40.94,-2.69,1092.24,0,352,96,0,0,0
2625.81,"280","2800","9",NA,5.3,"0",25.03,9428.31,11.74,9.17,0.48,40.93,-3.84,1421.00,277,10,137,0,0,3
1895.00,"245","2450","1",NA,3.5,"0",28.91,4770.58,4.89,7.54,0.42,40.96,-3.21,980.40,116,26,137,8,11,0
2742.31,"485","4850","16",NA,17.1,"0",15.94,9534.38,3.36,9.41,0.49,40.94,-2.18,1199.85,0,75,0,357,0,1
1089.50,"238","2380","5",NA,1.8,"0",27.83,3904.90,8.71,5.41,0.34,40.96,-3.30,940.00,59,19,88,10,0,0
2243.25,"492","4920","13",NA,10.0,"0",14.92,7498.40,3.07,8.34,0.45,40.96,-3.12,930.98,0,36,159,167,0,0
3003.81,"256","2560","14",NA,19.5,"0",25.98,5830.20,3.89,9.94,0.51,40.95,-2.30,1126.05,65,60,18,338,0,0
707.69,"213","2130","12",NA,7.2,"0",15.00,3917.03,3.06,4.17,0.28,40.96,-2.92,847.45,0,0,102,7,0,0
2293.94,"263","2630","9",NA,4.6,"0",12.81,6225.92,5.80,8.45,0.46,40.95,-3.69,1130.69,363,0,0,0,0,0
1610.13,"486","4860","13",NA,7.2,"0",14.65,8106.55,2.14,6.83,0.40,40.95,-3.03,915.38,0,0,259,0,0,0
1127.00,"234","2340","10",NA,1.0,"0",14.61,4073.83,3.20,5.52,0.34,40.95,-2.47,1114.44,0,174,3,2,0,0
1434.13,"479","4790","9",NA,2.9,"0",28.85,9360.11,11.35,6.38,0.38,40.95,-3.87,1558.19,157,0,70,0,0,1
152.75,"240","2400","10",NA,0.1,"0",9.50,1713.17,4.83,1.66,0.15,40.97,-2.46,1081.94,0,6,5,12,0,0
1949.44,"470","4700","11",NA,6.5,"0",31.55,9834.37,7.81,7.67,0.43,40.93,-3.42,987.45,235,12,65,0,0,0
486.25,"236","2360","10",NA,0.5,"0",12.86,1939.95,3.31,3.33,0.24,40.95,-2.49,1106.51,0,72,1,1,0,0
2135.00,"487","4870","14",NA,13.8,"0",20.32,5525.92,3.42,8.10,0.44,40.93,-2.34,1111.32,0,192,0,147,0,0
1085.19,"269","2690","9",NA,2.2,"0",22.70,3897.05,10.78,5.39,0.34,40.95,-3.76,1201.30,172,0,0,0,0,0
3360.81,"475","4750","10",NA,3.1,"0",7.63,10028.31,0.49,10.63,0.53,40.92,-2.59,1107.16,0,285,255,0,0,0
1723.69,"276","2760","9",NA,3.5,"0",22.50,5404.17,13.65,7.12,0.41,40.93,-3.81,1259.86,222,7,42,0,3,0
197.75,"235","2350","12",NA,2.0,"0",8.17,1633.88,0.51,1.94,0.17,40.96,-2.91,836.16,0,0,31,0,0,0
6948.19,"484","4840","18",NA,23.8,"0",16.74,9365.13,1.87,16.43,0.71,40.91,-1.99,1220.42,84,416,56,554,0,5
1542.25,"478","4780","14",NA,10.0,"0",22.99,7253.00,4.86,6.66,0.39,40.93,-2.26,1141.72,2,118,5,125,0,0
1563.38,"488","4880","11",NA,5.2,"0",10.05,7822.67,3.67,6.71,0.39,40.95,-3.60,1037.07,245,0,0,0,0,0
2691.44,"167","1670","11",NA,8.9,"0",37.43,8896.20,6.97,9.30,0.49,40.93,-3.45,991.00,366,0,59,0,2,0
2305.00,"482","4820","1",NA,4.2,"0",20.11,7117.34,2.65,8.48,0.46,40.93,-3.24,966.01,17,41,209,103,0,0
1767.63,"232","2320","1",NA,3.2,"0",20.72,6433.76,3.90,7.23,0.41,40.93,-3.18,899.30,1,1,190,94,0,0
1439.06,"476","4760","19",NA,8.2,"0",15.78,7420.89,4.07,6.39,0.38,40.93,-2.10,1282.09,10,135,11,67,0,9
1872.06,"474","4740","13",NA,8.3,"0",19.53,7567.64,3.51,7.48,0.42,40.93,-3.14,908.97,0,0,144,155,0,0
596.44,"267","2670","9",NA,1.2,"0",14.84,2521.32,16.23,3.77,0.27,40.94,-3.72,1109.69,93,0,0,0,0,0
1425.50,"473","4730","9",NA,2.9,"0",26.83,8497.98,10.37,6.35,0.38,40.93,-3.89,1451.38,165,0,61,0,0,0
4012.81,"231","2310","5",NA,6.5,"0",22.48,10210.42,1.98,11.82,0.57,40.92,-3.31,896.67,5,35,527,72,0,0
2033.31,"467","4670","10",NA,1.9,"0",9.12,9029.04,1.22,7.86,0.43,40.93,-2.63,1103.38,0,188,134,0,0,0
1871.06,"477","4770","19",NA,10.7,"0",11.92,8241.91,3.81,7.48,0.42,40.92,-2.06,1278.37,7,211,0,81,0,1
1091.31,"229","2290","11",NA,3.6,"0",29.81,3230.63,15.92,5.41,0.34,40.94,-3.49,993.86,162,0,13,0,2,0
935.75,"173","1730","11",NA,3.1,"0",16.85,5624.14,6.43,4.93,0.32,40.94,-3.54,986.19,111,0,39,0,0,0
36.31,"264","2640","9",NA,0.1,"0",7.93,1564.95,6.77,0.70,0.09,40.95,-3.71,1044.43,8,0,0,0,0,0
3169.69,"201","2010","13",NA,14.1,"0",16.02,7530.51,2.29,10.26,0.52,40.90,-3.03,847.51,0,0,373,131,0,0
1445.00,"457","4570","5",NA,2.3,"0",23.63,10884.38,3.66,6.40,0.38,40.91,-3.39,914.24,117,9,104,0,0,0
